Invoice Date,Invoice Number,Customer Name,Sales person,Item Name,Quantity,Item Price,SubTotal,Discount Amount,Item Tax Amount,Item.CF.Cost,Invoice Status,Purchase Rate,Sales Sub Total,Cost Sub Total,Net Sales
11/2/2022,INV-203445,VAN COMMUNICATIONS,Andrew,HDD-SG-SK6TB,1,123,280.1,0,123,,Closed,123,123,123,123
11/2/2022,INV-203445,VAN COMMUNICATIONS,Andrew,Shipping Charges,1,123,280.1,0,123,28.86,Closed,123,123,123,123
11/2/2022,INV-203446,VAN COMMUNICATIONS,Andrew,GX-LVA-PUMSD128G-L,2,123,334.98,0,123,,Closed,123,123,123,123
11/2/2022,INV-203446,VAN COMMUNICATIONS,Andrew,VDP-JW868-WIFI,2,123,334.98,0,123,,Closed,123,123,123,123
11/2/2022,INV-203447,VAN COMMUNICATIONS,Andrew,EEE,5,123,1789.77,0,123,,Open,123,123,123,123
11/2/2022,INV-203447,VAN COMMUNICATIONS,Andrew,GX-HT-NVR5208-P8-AI,1,123,1789.77,54.7,123,0,Open,123,123,123,123
11/2/2022,INV-203447,VAN COMMUNICATIONS,Andrew,GX-HT728A-AI-28,1,123,1789.77,0,123,,Open,123,123,123,123
11/2/2022,INV-203447,VAN COMMUNICATIONS,Andrew,GX-HT728A-AI-LED-28AD,1,123,1789.77,0,123,,Open,123,123,123,123
11/2/2022,INV-203447,VAN COMMUNICATIONS,Andrew,GX-HTFE866-4K,1,123,1789.77,0,123,0,Open,123,123,123,123
11/2/2022,INV-203447,VAN COMMUNICATIONS,Andrew,HDD-SG-SK2TB,1,123,1789.77,0,123,,Open,123,123,123,123
11/3/2022,INV-203453,Secure Ontario Solutions,Andrew,,1,123,994.96,0,123,,Closed,123,123,123,123
11/3/2022,INV-203453,Secure Ontario Solutions,Andrew,,1,123,994.96,0,123,,Closed,123,123,123,123
11/3/2022,INV-203453,Secure Ontario Solutions,Andrew,FREE SHIPPING,1,123,994.96,0,123,22.17,Closed,123,123,123,123
11/3/2022,INV-203453,Secure Ontario Solutions,Andrew,GX-BK-JBE05,4,123,994.96,0,123,,Closed,123,123,123,123
11/3/2022,INV-203453,Secure Ontario Solutions,Andrew,GX-BK-JBE83X,6,123,994.96,0,123,,Closed,123,123,123,123
11/3/2022,INV-203453,Secure Ontario Solutions,Andrew,GX848A-AI-LED-28AD,4,123,994.96,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,,1,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,,1,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,EEE,10,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,GX-BK-WME03,7,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,GX724MF-IR28,7,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,HDD-SATA-4TBPUR,1,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,HDD-SATA-4TBPUR,1,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203454,SOLID GENERAL CONTRACTORS,Andrew,NVR302-16S2-P16,1,123,1973,0,123,,Closed,123,123,123,123
11/3/2022,INV-203460,VANCOUVER CCTV,Andrew,EEE,40,123,1925.7,0,123,,Closed,123,123,123,123
11/3/2022,INV-203460,VANCOUVER CCTV,Andrew,GX-BK-SMT-JB784X,30,123,1925.7,0,123,,Closed,123,123,123,123
11/3/2022,INV-203460,VANCOUVER CCTV,Andrew,GX-SMT-XHD784F-IZ,30,123,1925.7,0,123,,Closed,123,123,123,123
11/3/2022,INV-203460,VANCOUVER CCTV,Andrew,HDD-SATA-3TBPUR,10,123,1925.7,0,123,,Closed,123,123,123,123
11/3/2022,INV-203460,VANCOUVER CCTV,Andrew,Shipping Charges,1,123,1925.7,0,123,94.7,Closed,123,123,123,123
11/3/2022,INV-203463,HOUMAD INC,Andrew,DS-1271ZJ-140,2,123,158,0,123,,Closed,123,123,123,123
11/4/2022,INV-203469,SMART EYES SYSTEM INC,Andrew,EEE,9,123,204.39,0,123,,Closed,123,123,123,123
11/4/2022,INV-203469,SMART EYES SYSTEM INC,Andrew,GX-BK-SMT-JB784X,2,123,204.39,0,123,,Closed,123,123,123,123
11/4/2022,INV-203469,SMART EYES SYSTEM INC,Andrew,GX-SMT-XHD784F-IZ,5,123,204.39,0,123,,Closed,123,123,123,123
11/4/2022,INV-203469,SMART EYES SYSTEM INC,Andrew,GX-SMT46DW-IZ,4,123,204.39,0,123,,Closed,123,123,123,123
11/4/2022,INV-203474,DYNAMIC SECURITY & TELEPHONE SYSTEMS CORP,Andrew,EEE,5,123,1400.48,0,123,,Open,123,123,123,123
11/4/2022,INV-203474,DYNAMIC SECURITY & TELEPHONE SYSTEMS CORP,Andrew,GX-HT-BK-JB84X,5,123,1400.48,0,123,,Open,123,123,123,123
11/4/2022,INV-203474,DYNAMIC SECURITY & TELEPHONE SYSTEMS CORP,Andrew,GX-HT728A-AI-LED-28AD,5,123,1400.48,0,123,,Open,123,123,123,123
11/4/2022,INV-203474,DYNAMIC SECURITY & TELEPHONE SYSTEMS CORP,Andrew,GX-POE-SW4P-2G-60,2,123,1400.48,0,123,,Open,123,123,123,123
11/4/2022,INV-203475,KEYS LOCK AND SECURITY,Andrew,GX-KF1356M-G,10,123,45,0,123,,Closed,123,123,123,123
#,,,Andrew,,,,,,,,,,9667.41,29808.32,-20140.91
